Relation Name,Description,Reference,Notes
about,Refers to a resource that is the subject of the link's context.,"[RFC6903], section 2",
alternate,Refers to a substitute for this context,[http://www.w3.org/TR/html5/links.html#link-type-alternate],
appendix,Refers to an appendix.,[http://www.w3.org/TR/1999/REC-html401-19991224],
archives,"Refers to a collection of records, documents, or other
      materials of historical interest.",[http://www.w3.org/TR/2011/WD-html5-20110113/links.html#rel-archives],
author,Refers to the context's author.,[http://www.w3.org/TR/html5/links.html#link-type-author],
bookmark,Gives a permanent link to use for bookmarking purposes.,[http://www.w3.org/TR/html5/links.html#link-type-bookmark],
canonical,Designates the preferred version of a resource (the IRI and its contents).,[RFC6596],
chapter,Refers to a chapter in a collection of resources.,[http://www.w3.org/TR/1999/REC-html401-19991224],
collection,The target IRI points to a resource which represents the collection resource for the context IRI.,[RFC6573],
contents,Refers to a table of contents.,[http://www.w3.org/TR/1999/REC-html401-19991224],
copyright,"Refers to a copyright statement that applies to the
    link's context.",[http://www.w3.org/TR/1999/REC-html401-19991224],
create-form,The target IRI points to a resource where a submission form can be obtained.,[RFC6861],
current,"Refers to a resource containing the most recent
      item(s) in a collection of resources.",[RFC5005],
describedby,"Refers to a resource providing information about the
      link's context.",[http://www.w3.org/TR/powder-dr/#assoc-linking],
describes,"The relationship A 'describes' B asserts that
      resource A provides a description of resource B. There are no
      constraints on the format or representation of either A or B,
      neither are there any further constraints on either resource.",[RFC6892],"This link relation type is the inverse of the 'describedby'
        relation type.  While 'describedby' establishes a relation from
        the described resource back to the resource that describes it,
        'describes' established a relation from the describing resource to
        the resource it describes.  If B is 'describedby' A, then A
        'describes' B."
disclosure,Refers to a list of patent disclosures made with respect to material for which 'disclosure' relation is specified.,[RFC6579],
duplicate,"Refers to a resource whose available representations
      are byte-for-byte identical with the corresponding representations of
      the context IRI.",[RFC6249],"This relation is for static resources.  That is, an HTTP GET
      request on any duplicate will return the same representation.  It
      does not make sense for dynamic or POSTable resources and should not
      be used for them."
edit,"Refers to a resource that can be used to edit the
      link's context.",[RFC5023],
edit-form,"The target IRI points to a resource where a submission form for
      editing associated resource can be obtained.",[RFC6861],
edit-media,"Refers to a resource that can be used to edit media
      associated with the link's context.",[RFC5023],
enclosure,"Identifies a related resource that is potentially
      large and might require special handling.",[RFC4287],
first,"An IRI that refers to the furthest preceding resource
    in a series of resources.",[RFC5988],"This relation type registration did not indicate a
      reference.  Originally requested by Mark Nottingham in December
      2004."
glossary,Refers to a glossary of terms.,[http://www.w3.org/TR/1999/REC-html401-19991224],
help,Refers to context-sensitive help.,[http://www.w3.org/TR/html5/links.html#link-type-help],
hosts,"Refers to a resource hosted by the server indicated by
      the link context.",[RFC6690],"This relation is used in CoRE where links are retrieved as a
      ""/.well-known/core"" resource representation, and is the default
      relation type in the CoRE Link Format."
hub,"Refers to a hub that enables registration for
    notification of updates to the context.",[http://pubsubhubbub.googlecode.com],This relation type was requested by Brett Slatkin.
icon,Refers to an icon representing the link's context.,[http://www.w3.org/TR/html5/links.html#link-type-icon],
index,Refers to an index.,[http://www.w3.org/TR/1999/REC-html401-19991224],
item,The target IRI points to a resource that is a member of the collection represented by the context IRI.,[RFC6573],
last,"An IRI that refers to the furthest following resource
      in a series of resources.",[RFC5988],"This relation type registration did not indicate a
      reference. Originally requested by Mark Nottingham in December
      2004."
latest-version,"Points to a resource containing the latest (e.g.,
      current) version of the context.",[RFC5829],
license,Refers to a license associated with this context.,[RFC4946],"For implications of use in HTML, see: 
      http://www.w3.org/TR/html5/links.html#link-type-license"
lrdd,"Refers to further information about the link's context,
      expressed as a LRDD (""Link-based Resource Descriptor Document"")
      resource.  See [RFC6415] for information about
      processing this relation type in host-meta documents. When used
      elsewhere, it refers to additional links and other metadata.
      Multiple instances indicate additional LRDD resources. LRDD
      resources MUST have an ""application/xrd+xml"" representation, and
      MAY have others.",[RFC6415],
memento,"The Target IRI points to a Memento, a fixed resource that will not change state anymore.",[RFC7089],"A Memento for an Original Resource is a resource that
      encapsulates a prior state of the Original Resource."
monitor,Refers to a resource that can be used to monitor changes in an HTTP resource.,[RFC5989],
monitor-group,Refers to a resource that can be used to monitor changes in a specified group of HTTP resources.,[RFC5989],
next,"Indicates that the link's context is a part of a series, and
      that the next in the series is the link target.",[http://www.w3.org/TR/html5/links.html#link-type-next],
next-archive,Refers to the immediately following archive resource.,[RFC5005],
nofollow,Indicates that the contextâ€™s original author or publisher does not endorse the link target.,[http://www.w3.org/TR/html5/links.html#link-type-nofollow],
noreferrer,Indicates that no referrer information is to be leaked when following the link.,[http://www.w3.org/TR/html5/links.html#link-type-noreferrer],
original,The Target IRI points to an Original Resource.,[RFC7089],"An Original Resource is a resource that exists or used to
      exist, and for which access to one of its prior states may be
      required."
payment,Indicates a resource where payment is accepted.,[RFC5988],"This relation type registration did not indicate a
      reference.  Requested by Joshua Kinberg and Robert Sayre.  It is
      meant as a general way to facilitate acts of payment, and thus
      this specification makes no assumptions on the type of payment or
      transaction protocol.  Examples may include a web page where
      donations are accepted or where goods and services are available
      for purchase. rel=""payment"" is not intended to initiate an
      automated transaction.  In Atom documents, a link element with a
      rel=""payment"" attribute may exist at the feed/channel level and/or
      the entry/item level.  For example, a rel=""payment"" link at the
      feed/channel level may point to a ""tip jar"" URI, whereas an entry/
      item containing a book review may include a rel=""payment"" link
      that points to the location where the book may be purchased
      through an online retailer."
predecessor-version,"Points to a resource containing the predecessor
      version in the version history.",[RFC5829],
prefetch,Indicates that the link target should be preemptively cached.,[http://www.w3.org/TR/html5/links.html#link-type-prefetch],
prev,"Indicates that the link's context is a part of a series, and
      that the previous in the series is the link target.",[http://www.w3.org/TR/html5/links.html#link-type-prev],
preview,Refers to a resource that provides a preview of the link's context.,"[RFC6903], section 3",
previous,"Refers to the previous resource in an ordered series
      of resources.  Synonym for ""prev"".",[http://www.w3.org/TR/1999/REC-html401-19991224],
prev-archive,Refers to the immediately preceding archive resource.,[RFC5005],
privacy-policy,Refers to a privacy policy associated with the link's context.,"[RFC6903], section 4",
profile,"Identifying that a resource representation conforms
to a certain profile, without affecting the non-profile semantics
of the resource representation.",[RFC6906],"Profile URIs are primarily intended to be used as
identifiers, and thus clients SHOULD NOT indiscriminately access
profile URIs."
related,Identifies a related resource.,[RFC4287],
replies,"Identifies a resource that is a reply to the context
      of the link.",[RFC4685],
search,"Refers to a resource that can be used to search through
      the link's context and related resources.",[http://www.opensearch.org/Specifications/OpenSearch/1.1],
section,Refers to a section in a collection of resources.,[http://www.w3.org/TR/1999/REC-html401-19991224],
self,Conveys an identifier for the link's context.,[RFC4287],
service,"Indicates a URI that can be used to retrieve a
      service document.",[RFC5023],"When used in an Atom document, this relation type specifies
      Atom Publishing Protocol service documents by default.  Requested
      by James Snell."
start,"Refers to the first resource in a collection of
      resources.",[http://www.w3.org/TR/1999/REC-html401-19991224],
stylesheet,Refers to a stylesheet.,[http://www.w3.org/TR/html5/links.html#link-type-stylesheet],
subsection,"Refers to a resource serving as a subsection in a
      collection of resources.",[http://www.w3.org/TR/1999/REC-html401-19991224],
successor-version,"Points to a resource containing the successor version
      in the version history.",[RFC5829],
tag,"Gives a tag (identified by the given address) that applies to
      the current document.",[http://www.w3.org/TR/html5/links.html#link-type-tag],
terms-of-service,Refers to the terms of service associated with the link's context.,"[RFC6903], section 5",
timegate,The Target IRI points to a TimeGate for an Original Resource.,[RFC7089],"A TimeGate for an Original Resource is a resource that is
      capable of datetime negotiation to support access to prior states
      of the Original Resource."
timemap,The Target IRI points to a TimeMap for an Original Resource.,[RFC7089],"A TimeMap for an Original Resource is a resource from which
      a list of URIs of Mementos of the Original Resource is available."
type,Refers to a resource identifying the abstract semantic type of which the link's context is considered to be an instance.,"[RFC6903], section 6",
up,"Refers to a parent document in a hierarchy of
      documents.",[RFC5988],"This relation type registration did not indicate a
      reference.  Requested by Noah Slater."
version-history,"Points to a resource containing the version history
      for the context.",[RFC5829],
via,"Identifies a resource that is the source of the
      information in the link's context.",[RFC4287],
working-copy,Points to a working copy for this resource.,[RFC5829],
working-copy-of,"Points to the versioned resource from which this
      working copy was obtained.",[RFC5829],
